,Date,a,p,v,Alpha Counts
63,2024-03-04,0.899986455116628,0.0015634129583688,0.2203638357026127,3.0931167878581025
64,2024-03-05,0.9015333920236458,0.0016943439472633,0.2107674471428769,3.1012041096256917
65,2024-03-06,0.9031593462832028,0.001782654322515,0.2011069266923172,3.1091441429313873
66,2024-03-07,0.8990007365968354,-0.0002312040385816,0.1952793296304435,3.1106116490852007
67,2024-03-08,0.8945882356895767,0.0019957277761872,0.1896204711081208,3.1115627442660445
68,2024-03-09,0.8963433722150161,0.0020968158725704,0.1798724827557542,3.118922902931141
69,2024-03-10,0.8981612799144404,0.002219751936915,0.1700868925247606,3.1261215639356488
70,2024-03-11,0.8999652391624173,0.0023233431278752,0.1603106700875328,3.133222262573139
71,2024-03-12,0.9018561765904264,0.0024480273036207,0.1504671935926439,3.1402417519421486
72,2024-03-13,0.9037829466499736,0.0025393344776663,0.1406059340225012,3.1469837971137884
73,2024-03-14,0.8996794331237916,0.000554930628693,0.1348901250268394,3.1471184636884173
74,2024-03-15,0.9016279889755978,0.0006825453015847,0.1250187318381082,3.15328650111776
75,2024-03-16,0.9036590641168184,0.0008096280213915,0.1151039630979349,3.1591843035769727
76,2024-03-17,0.9056569910204793,0.0009284002165644,0.1052213758627585,3.164688716980656
77,2024-03-18,0.9018056632346156,0.0031142623727216,0.0994638599847631,3.1640843257359954
78,2024-03-19,0.9039153633857128,0.0032486734741897,0.0895280456155031,3.169210970040611
79,2024-03-20,0.9060597307786245,0.0033387794497408,0.0795792287913839,3.1741772566535973
80,2024-03-21,0.9020733680911122,0.0013855263296116,0.0740467674473528,3.1729348801901676
81,2024-03-22,0.9042486721804484,0.0015190292432447,0.0641071100224301,3.1774478074913377
82,2024-03-23,0.9065298459537368,0.0016429083972678,0.0541159905041077,3.1815349569408102
83,2024-03-24,0.9087571764167228,0.0017639253369668,0.0441964258146225,3.1851005512372277
84,2024-03-25,0.9111239525485656,0.001879309343379,0.0341945587333743,3.188372029618634
85,2024-03-26,0.9133852793401824,0.0019889264598133,0.0242872493137455,3.1910483887630434
86,2024-03-27,0.9097467200140812,0.000107280010037,0.0187439416498023,3.1887274029424337
87,2024-03-28,0.9121065242151868,0.0002224018524743,0.0088169499520199,3.190979065386374
88,2024-03-29,0.9145250679368396,0.0003480055282912,-0.0011075050566854,3.192908937594201
89,2024-03-30,0.9107909539543714,0.0024235075599084,-0.00642684092107,3.1900592945595756
90,2024-03-31,0.9132190525577316,0.0025080135902918,-0.0163057199962751,3.1914419300190264
91,2024-04-01,0.9157997830543688,0.002629710568852,-0.0262386131055826,3.1925869601290175
92,2024-04-02,0.918289673042568,0.0027371969186224,-0.0360992208060043,3.1933072081755096
93,2024-04-03,0.9145971789690782,0.0009083236273054,-0.0412393811704884,3.1898635149071266
94,2024-04-04,0.9171464393528708,0.0010037831631876,-0.0510372619190342,3.189851120904524
95,2024-04-05,0.9197276706074724,0.0011282612582123,-0.0608382346588095,3.1892331752056315
96,2024-04-06,0.9223158465942664,0.0012369673012218,-0.0705949198717141,3.1882101838429566
97,2024-04-07,0.9249478877029708,0.0013207609830188,-0.0803569391027937,3.186878525115368
98,2024-04-08,0.9275223978469548,0.0014161910943087,-0.090026048976896,3.1851049728723093
99,2024-04-09,0.9301780989283224,0.0015149979618739,-0.0997069028757692,3.1828961957088007
100,2024-04-10,0.9204590646671992,0.0015741169169973,-0.0997026193048917,3.1767985080427903
101,2024-04-11,0.9230975835255616,0.0016918215657247,-0.1092524030780681,3.1744763244294485
102,2024-04-12,0.9258232389741784,0.0017600312565935,-0.1188333829919349,3.1717253598529047
103,2024-04-13,0.9285634628078124,0.0018321464498185,-0.1283669290579925,3.1684767162156007
104,2024-04-14,0.931243504084304,0.001920612811706,-0.1377955724493051,3.1648031410985213
105,2024-04-15,0.9339691880791336,0.0020123879478907,-0.1471917567954311,3.1610228250625902
106,2024-04-16,0.9366590973474008,0.0020495004020647,-0.1565313435166529,3.156876254597132
107,2024-04-17,0.9332909549912358,0.0003472286917475,-0.1609613599660147,3.1523668834669185
108,2024-04-18,0.9360111598959272,0.0004182228907182,-0.1701995975892694,3.147883214462196
109,2024-04-19,0.938724971973187,0.0004551857345544,-0.1793448002195651,3.1431278416976554
110,2024-04-20,0.9414811476060624,0.0005375682838265,-0.188472300429625,3.1380378894081193
111,2024-04-21,0.944178082552414,0.000606251244069,-0.1974765724081075,3.132653388173682
112,2024-04-22,0.940752570442484,0.0023890173727298,-0.201479806192685,3.1281210703076785
113,2024-04-23,0.9435254616818578,0.0024346488193324,-0.2104076398833095,3.1226039233779086
114,2024-04-24,0.9463058769678024,0.0024685813641209,-0.2192713976806896,3.1170240863264445
115,2024-04-25,0.9426851233053738,0.0007894162907775,-0.2228564841668146,3.1126159243077445
116,2024-04-26,0.9454301596181288,0.0008241219294706,-0.2315347842399246,3.107070790795327
117,2024-04-27,0.9482003842195824,0.0008890070628474,-0.2401732476226762,3.1013505922151197
118,2024-04-28,0.9509597838697762,0.00090098955042,-0.2487153263683561,3.0954260390879322
119,2024-04-29,0.9535522782611818,0.0009534267347425,-0.2570481899054322,3.0895142355847085
120,2024-04-30,0.9563021412191912,0.0009757687764426,-0.2654275276164043,3.0835297958152847
121,2024-05-01,0.9589726675834358,0.0010139416944566,-0.2736812825470251,3.0775219745590134
122,2024-05-02,0.9616391629754978,0.0010227413287903,-0.2818159600483152,3.0715041379808032
123,2024-05-03,0.9582030999986146,0.0026389286280731,-0.2847928855706437,3.0674843783298638
124,2024-05-04,0.954367658969814,0.0010277776786335,-0.2873484654252227,3.0636373258669156
125,2024-05-05,0.957040827978314,0.0010338654221919,-0.2952337034906697,3.057657961736733
126,2024-05-06,0.9596324571351296,0.0010299738077998,-0.3029469550959313,3.0516468876358487
127,2024-05-07,0.9622038025587722,0.0010287936343036,-0.310567706694347,3.0457300559463794
128,2024-05-08,0.9648457542021396,0.0010235187245136,-0.3181586419089533,3.040015020776446
129,2024-05-09,0.967337216553222,0.0010204201436508,-0.3255248360234564,3.034582051915786
130,2024-05-10,0.969896771290716,0.0010474805030357,-0.3328321129120611,3.029334875122884
131,2024-05-11,0.9722747193942112,0.001021239564104,-0.3399209374343671,3.0242844712466037
132,2024-05-12,0.974735527480562,0.0009780825301013,-0.3469766094853327,3.019367490725772
133,2024-05-13,0.977134499708086,0.0009844759610206,-0.3538693655949413,3.0146311118560156
134,2024-05-14,0.9795691693176052,0.0009531454666756,-0.3606819523140808,3.0100502917340584
135,2024-05-15,0.9692422353719488,0.0009281964317096,-0.3565365423061394,3.0090323652275073
136,2024-05-16,0.9715617384906992,0.0008889871580519,-0.3630375325486547,3.004612710283449
137,2024-05-17,0.9737317882064828,0.000863187649938,-0.3693146600729522,3.0003793746188006
138,2024-05-18,0.9760379866067018,0.0008336813115682,-0.375596504173727,2.9962672008732016
139,2024-05-19,0.9782976529862708,0.0007999242464957,-0.3817271296821614,2.992329957504998
140,2024-05-20,0.9803524257089986,0.0007486567459261,-0.3875903453076087,2.9885920643158537
141,2024-05-21,0.9825222578749448,0.0007194546014159,-0.3934342683140728,2.984996725329535
142,2024-05-22,0.9845530520007836,0.0006450984135899,-0.3990295890645606,2.9815150838301987
143,2024-05-23,0.9865180986706008,0.0006084527080594,-0.4044647884103798,2.978127066043426
144,2024-05-24,0.9884877321561584,0.0005827316541009,-0.4098034696727008,2.974971720320273
145,2024-05-25,0.9903827932247532,0.0005064756233478,-0.4149410315678535,2.9719946583611776
146,2024-05-26,0.9922231210726288,0.0004249594662636,-0.4199279651131691,2.9691397018790653
147,2024-05-27,0.9940160588480184,0.0003897371352127,-0.4247540242958441,2.9664005035262178
148,2024-05-28,0.989597359275845,0.0017554033068425,-0.4240571348673858,2.9647943286490785
149,2024-05-29,0.9911716699785162,0.0016998776935493,-0.4284322425780983,2.9622976837927495
150,2024-05-30,0.9929084298366596,0.0016071722073894,-0.432857403858386,2.95984972438909
151,2024-05-31,0.994238720665742,0.0015517442347533,-0.4367880172548517,2.9575751522245985
152,2024-06-01,0.9958412292257024,0.0014538548838185,-0.4408458129215493,2.955336339185434
153,2024-06-02,0.9908254850062462,-1.2420214965149066e-05,-0.4389965217430102,2.954312430892349
154,2024-06-03,0.9921128155529996,-8.59895942713291e-05,-0.4425072624628485,2.9523254573805735
155,2024-06-04,0.9934298357033224,-0.0001596931525208,-0.4459317505146157,2.950410762620101
156,2024-06-05,0.9946343661321446,-0.000203744831738,-0.4491139108222597,2.948618742986472
157,2024-06-06,0.99590319819898,-0.0003013404750114,-0.452232142357912,2.946900907186684
158,2024-06-07,0.9969809679380406,-0.0003631828827872,-0.4550640241807322,2.945301400752853
159,2024-06-08,0.9979749701842956,-0.0004538124783352,-0.4576897943180635,2.9438137462076557
160,2024-06-09,0.998988027173068,-0.0005220367014288,-0.460200217963026,2.9424224868247615
161,2024-06-10,0.9997649516785232,-0.0006318733140592,-0.4623816073251641,2.9411667986197827
162,2024-06-11,1.0005391736807845,-0.0006948040412855,-0.4644150184236413,2.940022574294985
163,2024-06-12,1.0013112093221197,-0.0007823451883457,-0.4663130805137214,2.938980253290554
